,Year,County,Violent Crime Arrests,Estimated Population,Arrests Per Capita
859,2018,Calaveras,147,45157,0.0032553092543791662
860,2018,Colusa,66,22098,0.002986695628563671
861,2018,Contra Costa,2614,1149363,0.002274303244492819
862,2018,Del Norte,151,27221,0.005547187832923111
863,2018,El Dorado,480,188399,0.0025477842239077703
864,2018,Fresno,4316,1007229,0.004285023564651137
865,2018,Glenn,100,28796,0.003472704542297541
866,2018,Humboldt,492,136002,0.0036175938589138395
867,2018,Imperial,401,190624,0.0021036175927480276
868,2018,Inyo,107,18577,0.005759810518382947
869,2018,Kern,3412,905801,0.0037668317875559866
870,2018,Kings,603,151662,0.00397594651263995
871,2018,Lake,366,65081,0.005623761159170879
872,2018,Lassen,115,30911,0.0037203584484487725
873,2018,Los Angeles,28865,10283729,0.0028068612076417028
874,2018,Madera,562,158894,0.0035369491610759375
875,2018,Marin,524,263886,0.001985705948780913
876,2018,Mariposa,32,18129,0.0017651276959567543
877,2018,Mendocino,381,89299,0.004266565135107896
878,2018,Merced,1029,279977,0.003675301899798912
879,2018,Modoc,66,9612,0.00686641697877653
880,2018,Mono,58,13822,0.004196208942265953
881,2018,Monterey,1244,443281,0.0028063463130610154
882,2018,Napa,356,141294,0.0025195691253697963
883,2018,Nevada,191,99155,0.0019262770409964197
884,2018,Orange,6097,3221103,0.0018928298784608875
885,2018,Placer,764,389532,0.0019613279525173798
886,2018,Plumas,78,19773,0.0039447731755424065
887,2018,Riverside,5315,2415955,0.002199958194585578
888,2018,Sacramento,5084,1529501,0.0033239599058777995
889,2018,San Benito,179,57088,0.0031355100896860986
890,2018,San Bernardino,8839,2174938,0.00406402389401445
891,2018,San Diego,8574,3337456,0.0025690226328077435
892,2018,San Joaquin,3039,758744,0.004005303501576289
893,2018,San Luis Obispo,644,280101,0.002299170656298978
894,2018,San Mateo,1415,774155,0.0018277993425089292
895,2018,Santa Barbara,1306,453457,0.0028800966795087517
896,2018,Santa Clara,4166,1956598,0.002129205897174586
897,2018,Santa Cruz,773,276864,0.0027919845122515025
898,2018,Shasta,515,178271,0.002888860218431489
899,2018,Sierra,10,3207,0.0031181789834736516
900,2018,Siskiyou,179,44612,0.004012373352461221
901,2018,Solano,1496,439793,0.003401600298322165
902,2018,Sonoma,1475,503332,0.0029304713389969243
903,2018,Stanislaus,2349,555624,0.004227679149928729
904,2018,Sutter,400,97238,0.004113618132828729
905,2018,Tehama,209,64039,0.0032636362216774155
906,2018,Trinity,67,13635,0.004913824715804913
907,2018,Tulare,2322,475834,0.004879853057999218
908,2018,Tuolumne,203,54740,0.0037084398976982096
909,2018,Ventura,2271,859073,0.002643547172359043
