Entity Name,Fiscal Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total
Alameda,2014,131875980,313947014,26196604
Alpine,2014,3079052,1249574,384691
Amador,2014,8510784,5044358,518572
Butte,2014,14665078,43070947,4641530
Calaveras,2014,7922505,4989150,894722
Colusa,2014,6214851,5366870,412682
Contra Costa,2014,95710065,141067378,7947387
Del Norte,2014,3632437,5323632,509051
El Dorado,2014,30636906,12402487,1534182
Fresno,2014,83190879,111118928,16346870
Glenn,2014,5208533,5968519,898943
Humboldt,2014,14722257,30406811,1785562
Imperial,2014,19528058,37657318,2256491
Inyo,2014,6654893,3753636,525186
Kern,2014,112470909,95446899,12673880
Kings,2014,13042561,15178071,1234007
Lake,2014,10434813,9415796,1748637
Lassen,2014,4802948,6394702,732562
Los Angeles,2014,1864792545,1695367329,155540413
Madera,2014,13186094,12548509,1198271
Marin,2014,31023820,40361562,6269983
Mariposa,2014,5266052,3044669,543535
Mendocino,2014,12626046,17921429,1446651
Merced,2014,19448863,29909455,3345859
Modoc,2014,1762966,2746332,672665
Mono,2014,5322199,1772868,463387
Monterey,2014,38764961,63344025,4263636
Napa,2014,26770383,20539020,4718666
Nevada,2014,14012412,17675255,1618807
Orange,2014,415660402,248032599,25395726
Placer,2014,57807234,35035137,0
Plumas,2014,6366752,3293076,549620
Riverside,2014,385852731,203895594,19651883
Sacramento,2014,204426649,168518244,21141322
San Benito,2014,5326353,5747660,1215756
San Bernardino,2014,332344144,237775500,0
San Diego,2014,330796288,291458184,52812816
San Joaquin,2014,61159438,81956186,13125016
San Luis Obispo,2014,27793838,38878835,6425759
San Mateo,2014,109808354,117412268,17934148
Santa Barbara,2014,70553803,61756559,9239425
Santa Clara,2014,122725985,304410847,44689679
Santa Cruz,2014,27461522,53044223,5095931
Shasta,2014,20008670,26595667,3195717
Sierra,2014,2243460,1264062,211318
Siskiyou,2014,8422004,7692733,684230
Solano,2014,70915421,48372635,5665231
Sonoma,2014,73983912,61094092,10188278
Stanislaus,2014,42690493,68115993,7689877
Sutter,2014,8005633,24922364,0
Tehama,2014,7868839,8801052,1855118
Trinity,2014,2727206,4333100,825649
Tulare,2014,40017541,56422187,7078478
Tuolumne,2014,10689071,6850488,0
Ventura,2014,150772621,43249921,18816886
Yolo,2014,11380912,16998171,1822201
Yuba,2014,11734572,0,16716
Alameda,2015,137149087,321185717,25472058
Alpine,2015,2747072,1378442,328409
Amador,2015,8708649,6004461,546923
