County,Year,Population
San Diego,1984,2033690
San Francisco,1984,708700
San Joaquin,1984,393340
San Luis Obispo,1984,173475
San Mateo,1984,607935
Santa Barbara,1984,326130
Santa Clara,1984,1378960
Santa Cruz,1984,201725
Shasta,1984,124500
Sierra,1984,3240
Siskiyou,1984,41160
Solano,1984,263855
Sonoma,1984,323145
Stanislaus,1984,291865
Sutter,1984,56850
Tehama,1984,42530
Trinity,1984,12500
Tulare,1984,270815
Tuolumne,1984,37810
Ventura,1984,578700
Yolo,1984,119590
Yuba,1984,52020
Alameda,1985,1185540
Alpine,1985,1100
Amador,1985,21800
Butte,1985,159640
Calaveras,1985,24660
Colusa,1985,14300
Contra Costa,1985,704655
Del Norte,1985,18970
El Dorado,1985,97150
Fresno,1985,577420
Glenn,1985,22730
Humboldt,1985,110430
Imperial,1985,97840
Inyo,1985,18130
Kern,1985,466565
Kings,1985,83155
Lake,1985,44700
Lassen,1985,24125
Los Angeles,1985,8121235
Madera,1985,73825
Marin,1985,220545
Mariposa,1985,12300
Mendocino,1985,72670
Merced,1985,154655
Modoc,1985,9475
Mono,1985,8800
Monterey,1985,324035
Napa,1985,102470
Nevada,1985,63510
Orange,1985,2143725
Placer,1985,136565
Plumas,1985,18390
Riverside,1985,815160
Sacramento,1985,880555
San Benito,1985,29260
San Bernardino,1985,1044505
San Diego,1985,2080360
San Francisco,1985,720400
San Joaquin,1985,408540
San Luis Obispo,1985,179875
San Mateo,1985,614410
Santa Barbara,1985,333860
Santa Clara,1985,1400365
Santa Cruz,1985,206025
Shasta,1985,127525
Sierra,1985,3230
Siskiyou,1985,41375
Solano,1985,269460
Sonoma,1985,329755
Stanislaus,1985,298420
Sutter,1985,57350
Tehama,1985,43530
Trinity,1985,12700
Tulare,1985,277170
Tuolumne,1985,38950
Ventura,1985,590700
Yolo,1985,122180
Yuba,1985,52690
Alameda,1986,1206850
Alpine,1986,1140
Amador,1986,22470
Butte,1986,163050
Calaveras,1986,25560
Colusa,1986,14695
Contra Costa,1986,718540
Del Norte,1986,19320
El Dorado,1986,100925
Fresno,1986,588215
Glenn,1986,22955
Humboldt,1986,111210
Imperial,1986,99360
Inyo,1986,17940
Kern,1986,480610
Kings,1986,84170
Lake,1986,45920
Lassen,1986,24650
Los Angeles,1986,8285890
Madera,1986,75525
Marin,1986,220780
Mariposa,1986,12550
Mendocino,1986,74025
Merced,1986,158275
Modoc,1986,9315
Mono,1986,8810
Monterey,1986,330595
Napa,1986,103535
Nevada,1986,65870
Orange,1986,2193250
Placer,1986,141515
Plumas,1986,18640
Riverside,1986,862655
Sacramento,1986,904720
San Benito,1986,30680
San Bernardino,1986,1094355
San Diego,1986,2148990
San Francisco,1986,732900
San Joaquin,1986,425435
San Luis Obispo,1986,187775
San Mateo,1986,618530
Santa Barbara,1986,341840
Santa Clara,1986,1415375
Santa Cruz,1986,210650
Shasta,1986,130225
Sierra,1986,3200
